dataset,horizon,model_name,recorded_n_series,declared_dataset_cap_or_reference,exceeds_declared_cap,plausible_count_type,interpretation_note
Favorita,14,seasonal_naive,15803.0,30000.0,False,recorded_workload_count,"Recorded count may be unique series, valid WAPE series, or another workload denominator; the saved aggregate file does not store row-level series IDs."
Favorita,14,timesfm25,100.0,30000.0,False,small_sample_or_valid_series_count,"Recorded count is compatible with the legacy small-sample bootstrap workload, but row-level IDs are not available here."
Favorita,14,tirex,100.0,30000.0,False,small_sample_or_valid_series_count,"Recorded count is compatible with the legacy small-sample bootstrap workload, but row-level IDs are not available here."
Favorita,28,chronos2,2988.0,30000.0,False,recorded_workload_count,"Recorded count may be unique series, valid WAPE series, or another workload denominator; the saved aggregate file does not store row-level series IDs."
Favorita,28,chronos_bolt_tiny,2988.0,30000.0,False,recorded_workload_count,"Recorded count may be unique series, valid WAPE series, or another workload denominator; the saved aggregate file does not store row-level series IDs."
Favorita,28,lightgbm_cov,29753.0,30000.0,False,recorded_workload_count,"Recorded count may be unique series, valid WAPE series, or another workload denominator; the saved aggregate file does not store row-level series IDs."
Favorita,28,lightgbm_direct,29753.0,30000.0,False,recorded_workload_count,"Recorded count may be unique series, valid WAPE series, or another workload denominator; the saved aggregate file does not store row-level series IDs."
Favorita,28,moirai2,147262.0,30000.0,True,not_unique_series_ids,Recorded n_series exceeds the declared dataset cap; treat as a workload or observation count until row-level IDs are recovered.
Favorita,28,seasonal_naive,15325.0,30000.0,False,recorded_workload_count,"Recorded count may be unique series, valid WAPE series, or another workload denominator; the saved aggregate file does not store row-level series IDs."
Favorita,28,timesfm25,98.0,30000.0,False,small_sample_or_valid_series_count,"Recorded count is compatible with the legacy small-sample bootstrap workload, but row-level IDs are not available here."
Favorita,28,tirex,98.0,30000.0,False,small_sample_or_valid_series_count,"Recorded count is compatible with the legacy small-sample bootstrap workload, but row-level IDs are not available here."
M5,7,chronos2,3000.0,30490.0,False,recorded_workload_count,"Recorded count may be unique series, valid WAPE series, or another workload denominator; the saved aggregate file does not store row-level series IDs."
M5,7,chronos_bolt_tiny,3000.0,30490.0,False,recorded_workload_count,"Recorded count may be unique series, valid WAPE series, or another workload denominator; the saved aggregate file does not store row-level series IDs."
M5,7,lightgbm_cov,30480.0,30490.0,False,recorded_workload_count,"Recorded count may be unique series, valid WAPE series, or another workload denominator; the saved aggregate file does not store row-level series IDs."
M5,7,lightgbm_direct,30480.0,30490.0,False,recorded_workload_count,"Recorded count may be unique series, valid WAPE series, or another workload denominator; the saved aggregate file does not store row-level series IDs."
M5,7,moirai2,30490.0,30490.0,False,recorded_workload_count,"Recorded count may be unique series, valid WAPE series, or another workload denominator; the saved aggregate file does not store row-level series IDs."
M5,7,seasonal_naive,30480.0,30490.0,False,recorded_workload_count,"Recorded count may be unique series, valid WAPE series, or another workload denominator; the saved aggregate file does not store row-level series IDs."
M5,7,timesfm25,500.0,30490.0,False,recorded_workload_count,"Recorded count may be unique series, valid WAPE series, or another workload denominator; the saved aggregate file does not store row-level series IDs."
M5,7,tirex,1000.0,30490.0,False,recorded_workload_count,"Recorded count may be unique series, valid WAPE series, or another workload denominator; the saved aggregate file does not store row-level series IDs."
M5,14,chronos2,3000.0,30490.0,False,recorded_workload_count,"Recorded count may be unique series, valid WAPE series, or another workload denominator; the saved aggregate file does not store row-level series IDs."
M5,14,chronos_bolt_tiny,3000.0,30490.0,False,recorded_workload_count,"Recorded count may be unique series, valid WAPE series, or another workload denominator; the saved aggregate file does not store row-level series IDs."
M5,14,lightgbm_cov,30478.0,30490.0,False,recorded_workload_count,"Recorded count may be unique series, valid WAPE series, or another workload denominator; the saved aggregate file does not store row-level series IDs."
M5,14,lightgbm_direct,30478.0,30490.0,False,recorded_workload_count,"Recorded count may be unique series, valid WAPE series, or another workload denominator; the saved aggregate file does not store row-level series IDs."
M5,14,moirai2,30490.0,30490.0,False,recorded_workload_count,"Recorded count may be unique series, valid WAPE series, or another workload denominator; the saved aggregate file does not store row-level series IDs."
M5,14,seasonal_naive,30478.0,30490.0,False,recorded_workload_count,"Recorded count may be unique series, valid WAPE series, or another workload denominator; the saved aggregate file does not store row-level series IDs."
M5,14,timesfm25,500.0,30490.0,False,recorded_workload_count,"Recorded count may be unique series, valid WAPE series, or another workload denominator; the saved aggregate file does not store row-level series IDs."
M5,14,tirex,1000.0,30490.0,False,recorded_workload_count,"Recorded count may be unique series, valid WAPE series, or another workload denominator; the saved aggregate file does not store row-level series IDs."
M5,28,chronos2,3000.0,30490.0,False,recorded_workload_count,"Recorded count may be unique series, valid WAPE series, or another workload denominator; the saved aggregate file does not store row-level series IDs."
M5,28,chronos_bolt_tiny,3000.0,30490.0,False,recorded_workload_count,"Recorded count may be unique series, valid WAPE series, or another workload denominator; the saved aggregate file does not store row-level series IDs."
M5,28,lightgbm_cov,30462.0,30490.0,False,recorded_workload_count,"Recorded count may be unique series, valid WAPE series, or another workload denominator; the saved aggregate file does not store row-level series IDs."
M5,28,lightgbm_direct,30462.0,30490.0,False,recorded_workload_count,"Recorded count may be unique series, valid WAPE series, or another workload denominator; the saved aggregate file does not store row-level series IDs."
M5,28,moirai2,30490.0,30490.0,False,recorded_workload_count,"Recorded count may be unique series, valid WAPE series, or another workload denominator; the saved aggregate file does not store row-level series IDs."
M5,28,seasonal_naive,30462.0,30490.0,False,recorded_workload_count,"Recorded count may be unique series, valid WAPE series, or another workload denominator; the saved aggregate file does not store row-level series IDs."
M5,28,timesfm25,500.0,30490.0,False,recorded_workload_count,"Recorded count may be unique series, valid WAPE series, or another workload denominator; the saved aggregate file does not store row-level series IDs."
M5,28,tirex,1000.0,30490.0,False,recorded_workload_count,"Recorded count may be unique series, valid WAPE series, or another workload denominator; the saved aggregate file does not store row-level series IDs."
Rohlik v2,7,chronos2,4651.0,,False,recorded_workload_count,"Recorded count may be unique series, valid WAPE series, or another workload denominator; the saved aggregate file does not store row-level series IDs."
Rohlik v2,7,chronos_bolt_tiny,4651.0,,False,recorded_workload_count,"Recorded count may be unique series, valid WAPE series, or another workload denominator; the saved aggregate file does not store row-level series IDs."
Rohlik v2,7,lightgbm_cov,4713.0,,False,recorded_workload_count,"Recorded count may be unique series, valid WAPE series, or another workload denominator; the saved aggregate file does not store row-level series IDs."
Rohlik v2,7,lightgbm_direct,4713.0,,False,recorded_workload_count,"Recorded count may be unique series, valid WAPE series, or another workload denominator; the saved aggregate file does not store row-level series IDs."
Rohlik v2,7,moirai2,4651.0,,False,recorded_workload_count,"Recorded count may be unique series, valid WAPE series, or another workload denominator; the saved aggregate file does not store row-level series IDs."
Rohlik v2,7,seasonal_naive,1710.0,,False,recorded_workload_count,"Recorded count may be unique series, valid WAPE series, or another workload denominator; the saved aggregate file does not store row-level series IDs."
Rohlik v2,7,timesfm25,4651.0,,False,recorded_workload_count,"Recorded count may be unique series, valid WAPE series, or another workload denominator; the saved aggregate file does not store row-level series IDs."
Rohlik v2,7,tirex,4651.0,,False,recorded_workload_count,"Recorded count may be unique series, valid WAPE series, or another workload denominator; the saved aggregate file does not store row-level series IDs."
Rohlik v2,14,chronos2,4614.0,,False,recorded_workload_count,"Recorded count may be unique series, valid WAPE series, or another workload denominator; the saved aggregate file does not store row-level series IDs."
Rohlik v2,14,chronos_bolt_tiny,4614.0,,False,recorded_workload_count,"Recorded count may be unique series, valid WAPE series, or another workload denominator; the saved aggregate file does not store row-level series IDs."
Rohlik v2,14,lightgbm_cov,4713.0,,False,recorded_workload_count,"Recorded count may be unique series, valid WAPE series, or another workload denominator; the saved aggregate file does not store row-level series IDs."
Rohlik v2,14,lightgbm_direct,4713.0,,False,recorded_workload_count,"Recorded count may be unique series, valid WAPE series, or another workload denominator; the saved aggregate file does not store row-level series IDs."
Rohlik v2,14,moirai2,4614.0,,False,recorded_workload_count,"Recorded count may be unique series, valid WAPE series, or another workload denominator; the saved aggregate file does not store row-level series IDs."
Rohlik v2,14,seasonal_naive,1691.0,,False,recorded_workload_count,"Recorded count may be unique series, valid WAPE series, or another workload denominator; the saved aggregate file does not store row-level series IDs."
Rohlik v2,14,timesfm25,4614.0,,False,recorded_workload_count,"Recorded count may be unique series, valid WAPE series, or another workload denominator; the saved aggregate file does not store row-level series IDs."
Rohlik v2,14,tirex,4614.0,,False,recorded_workload_count,"Recorded count may be unique series, valid WAPE series, or another workload denominator; the saved aggregate file does not store row-level series IDs."
Rohlik v2,28,chronos2,4549.0,,False,recorded_workload_count,"Recorded count may be unique series, valid WAPE series, or another workload denominator; the saved aggregate file does not store row-level series IDs."
Rohlik v2,28,chronos_bolt_tiny,4549.0,,False,recorded_workload_count,"Recorded count may be unique series, valid WAPE series, or another workload denominator; the saved aggregate file does not store row-level series IDs."
Rohlik v2,28,lightgbm_cov,4713.0,,False,recorded_workload_count,"Recorded count may be unique series, valid WAPE series, or another workload denominator; the saved aggregate file does not store row-level series IDs."
Rohlik v2,28,lightgbm_direct,4713.0,,False,recorded_workload_count,"Recorded count may be unique series, valid WAPE series, or another workload denominator; the saved aggregate file does not store row-level series IDs."
Rohlik v2,28,moirai2,4549.0,,False,recorded_workload_count,"Recorded count may be unique series, valid WAPE series, or another workload denominator; the saved aggregate file does not store row-level series IDs."
Rohlik v2,28,seasonal_naive,1671.0,,False,recorded_workload_count,"Recorded count may be unique series, valid WAPE series, or another workload denominator; the saved aggregate file does not store row-level series IDs."
Rohlik v2,28,timesfm25,4549.0,,False,recorded_workload_count,"Recorded count may be unique series, valid WAPE series, or another workload denominator; the saved aggregate file does not store row-level series IDs."
Rohlik v2,28,tirex,4549.0,,False,recorded_workload_count,"Recorded count may be unique series, valid WAPE series, or another workload denominator; the saved aggregate file does not store row-level series IDs."
