contrast_id_row,contrast_id_col,covariance
favorita_stores_1M__tirex__vs__seasonal_naive__WAPE,favorita_transactions_1D__tirex__vs__seasonal_naive__WAPE,-3.421890113029218e-06
favorita_stores_1M__tirex__vs__seasonal_naive__WAPE,favorita_transactions_1M__tirex__vs__seasonal_naive__WAPE,-3.5355291283531637e-06
favorita_stores_1M__tirex__vs__seasonal_naive__WAPE,favorita_transactions_1W__tirex__vs__seasonal_naive__WAPE,-1.5629903040273122e-05
favorita_stores_1M__tirex__vs__seasonal_naive__WAPE,hermes__tirex__vs__seasonal_naive__WAPE,3.1987214571860673e-07
favorita_stores_1M__tirex__vs__seasonal_naive__WAPE,hierarchical_sales_1D__tirex__vs__seasonal_naive__WAPE,1.8098445955954766e-05
favorita_stores_1M__tirex__vs__seasonal_naive__WAPE,hierarchical_sales_1W__tirex__vs__seasonal_naive__WAPE,-8.435903934279169e-06
favorita_stores_1M__tirex__vs__seasonal_naive__WAPE,m5_1D__tirex__vs__seasonal_naive__WAPE,3.4467104725468816e-06
favorita_stores_1M__tirex__vs__seasonal_naive__WAPE,m5_1M__tirex__vs__seasonal_naive__WAPE,8.495750938618308e-07
favorita_stores_1M__tirex__vs__seasonal_naive__WAPE,m5_1W__tirex__vs__seasonal_naive__WAPE,5.418414434633963e-07
favorita_stores_1M__tirex__vs__seasonal_naive__WAPE,restaurant__tirex__vs__seasonal_naive__WAPE,-1.8503783485111561e-06
favorita_stores_1M__tirex__vs__seasonal_naive__WAPE,rohlik_orders_1D__tirex__vs__seasonal_naive__WAPE,8.53298763013138e-06
favorita_stores_1M__tirex__vs__seasonal_naive__WAPE,rohlik_orders_1W__tirex__vs__seasonal_naive__WAPE,-4.93450507252324e-06
favorita_stores_1M__tirex__vs__seasonal_naive__WAPE,rohlik_sales_1D__tirex__vs__seasonal_naive__WAPE,1.7688805605257556e-05
favorita_stores_1M__tirex__vs__seasonal_naive__WAPE,rohlik_sales_1W__tirex__vs__seasonal_naive__WAPE,-1.804156972859095e-05
favorita_stores_1M__tirex__vs__seasonal_naive__WAPE,rossmann_1D__tirex__vs__seasonal_naive__WAPE,6.950860236823905e-07
favorita_stores_1M__tirex__vs__seasonal_naive__WAPE,rossmann_1W__tirex__vs__seasonal_naive__WAPE,-9.265213089086178e-07
favorita_stores_1M__tirex__vs__seasonal_naive__WAPE,walmart__tirex__vs__seasonal_naive__WAPE,-4.0888005944041685e-05
favorita_stores_1W__tirex__vs__seasonal_naive__WAPE,favorita_stores_1D__tirex__vs__seasonal_naive__WAPE,-4.983512258188845e-05
favorita_stores_1W__tirex__vs__seasonal_naive__WAPE,favorita_stores_1M__tirex__vs__seasonal_naive__WAPE,8.255135943474261e-06
favorita_stores_1W__tirex__vs__seasonal_naive__WAPE,favorita_stores_1W__tirex__vs__seasonal_naive__WAPE,0.005109194336106482
favorita_stores_1W__tirex__vs__seasonal_naive__WAPE,favorita_transactions_1D__tirex__vs__seasonal_naive__WAPE,-7.758852924183273e-06
favorita_stores_1W__tirex__vs__seasonal_naive__WAPE,favorita_transactions_1M__tirex__vs__seasonal_naive__WAPE,-0.00010923103148057146
favorita_stores_1W__tirex__vs__seasonal_naive__WAPE,favorita_transactions_1W__tirex__vs__seasonal_naive__WAPE,7.239261679019827e-05
favorita_stores_1W__tirex__vs__seasonal_naive__WAPE,hermes__tirex__vs__seasonal_naive__WAPE,-4.667059669496435e-07
favorita_stores_1W__tirex__vs__seasonal_naive__WAPE,hierarchical_sales_1D__tirex__vs__seasonal_naive__WAPE,-7.982916501770495e-06
favorita_stores_1W__tirex__vs__seasonal_naive__WAPE,hierarchical_sales_1W__tirex__vs__seasonal_naive__WAPE,-0.00011364677787292371
favorita_stores_1W__tirex__vs__seasonal_naive__WAPE,m5_1D__tirex__vs__seasonal_naive__WAPE,6.438050805701427e-07
favorita_stores_1W__tirex__vs__seasonal_naive__WAPE,m5_1M__tirex__vs__seasonal_naive__WAPE,-1.0869542490498418e-05
favorita_stores_1W__tirex__vs__seasonal_naive__WAPE,m5_1W__tirex__vs__seasonal_naive__WAPE,2.791082692107765e-06
favorita_stores_1W__tirex__vs__seasonal_naive__WAPE,restaurant__tirex__vs__seasonal_naive__WAPE,9.675143789829696e-07
favorita_stores_1W__tirex__vs__seasonal_naive__WAPE,rohlik_orders_1D__tirex__vs__seasonal_naive__WAPE,4.4361362490265116e-06
favorita_stores_1W__tirex__vs__seasonal_naive__WAPE,rohlik_orders_1W__tirex__vs__seasonal_naive__WAPE,-8.322697226331243e-05
favorita_stores_1W__tirex__vs__seasonal_naive__WAPE,rohlik_sales_1D__tirex__vs__seasonal_naive__WAPE,-5.048039030186025e-05
favorita_stores_1W__tirex__vs__seasonal_naive__WAPE,rohlik_sales_1W__tirex__vs__seasonal_naive__WAPE,7.181316284033834e-05
favorita_stores_1W__tirex__vs__seasonal_naive__WAPE,rossmann_1D__tirex__vs__seasonal_naive__WAPE,-4.538940538935304e-06
favorita_stores_1W__tirex__vs__seasonal_naive__WAPE,rossmann_1W__tirex__vs__seasonal_naive__WAPE,2.7606040025896766e-06
favorita_stores_1W__tirex__vs__seasonal_naive__WAPE,walmart__tirex__vs__seasonal_naive__WAPE,1.404883045638105e-05
favorita_transactions_1D__tirex__vs__seasonal_naive__WAPE,favorita_stores_1D__tirex__vs__seasonal_naive__WAPE,3.394241447166751e-05
favorita_transactions_1D__tirex__vs__seasonal_naive__WAPE,favorita_stores_1M__tirex__vs__seasonal_naive__WAPE,-3.421890113029218e-06
favorita_transactions_1D__tirex__vs__seasonal_naive__WAPE,favorita_stores_1W__tirex__vs__seasonal_naive__WAPE,-7.758852924183273e-06
favorita_transactions_1D__tirex__vs__seasonal_naive__WAPE,favorita_transactions_1D__tirex__vs__seasonal_naive__WAPE,0.0019121638630107875
favorita_transactions_1D__tirex__vs__seasonal_naive__WAPE,favorita_transactions_1M__tirex__vs__seasonal_naive__WAPE,2.4334987310638547e-05
favorita_transactions_1D__tirex__vs__seasonal_naive__WAPE,favorita_transactions_1W__tirex__vs__seasonal_naive__WAPE,-2.224820756106446e-06
favorita_transactions_1D__tirex__vs__seasonal_naive__WAPE,hermes__tirex__vs__seasonal_naive__WAPE,1.3128304750396683e-06
favorita_transactions_1D__tirex__vs__seasonal_naive__WAPE,hierarchical_sales_1D__tirex__vs__seasonal_naive__WAPE,1.0072091657088626e-05
favorita_transactions_1D__tirex__vs__seasonal_naive__WAPE,hierarchical_sales_1W__tirex__vs__seasonal_naive__WAPE,2.8952617022248568e-05
favorita_transactions_1D__tirex__vs__seasonal_naive__WAPE,m5_1D__tirex__vs__seasonal_naive__WAPE,-1.6839525860348739e-06
favorita_transactions_1D__tirex__vs__seasonal_naive__WAPE,m5_1M__tirex__vs__seasonal_naive__WAPE,-7.2833691640323e-06
favorita_transactions_1D__tirex__vs__seasonal_naive__WAPE,m5_1W__tirex__vs__seasonal_naive__WAPE,-7.356518510581411e-07
favorita_transactions_1D__tirex__vs__seasonal_naive__WAPE,restaurant__tirex__vs__seasonal_naive__WAPE,9.276310370835133e-07
favorita_transactions_1D__tirex__vs__seasonal_naive__WAPE,rohlik_orders_1D__tirex__vs__seasonal_naive__WAPE,1.6615147242833004e-05
favorita_transactions_1D__tirex__vs__seasonal_naive__WAPE,rohlik_orders_1W__tirex__vs__seasonal_naive__WAPE,2.290665339200832e-05
favorita_transactions_1D__tirex__vs__seasonal_naive__WAPE,rohlik_sales_1D__tirex__vs__seasonal_naive__WAPE,2.208251494439481e-05
favorita_transactions_1D__tirex__vs__seasonal_naive__WAPE,rohlik_sales_1W__tirex__vs__seasonal_naive__WAPE,-1.7619722216364575e-05
favorita_transactions_1D__tirex__vs__seasonal_naive__WAPE,rossmann_1D__tirex__vs__seasonal_naive__WAPE,1.131257851357993e-06
favorita_transactions_1D__tirex__vs__seasonal_naive__WAPE,rossmann_1W__tirex__vs__seasonal_naive__WAPE,6.47971025329371e-07
favorita_transactions_1D__tirex__vs__seasonal_naive__WAPE,walmart__tirex__vs__seasonal_naive__WAPE,-7.176827526188233e-05
favorita_transactions_1M__tirex__vs__seasonal_naive__WAPE,favorita_stores_1D__tirex__vs__seasonal_naive__WAPE,-6.833394098946802e-06
favorita_transactions_1M__tirex__vs__seasonal_naive__WAPE,favorita_stores_1M__tirex__vs__seasonal_naive__WAPE,-3.5355291283531637e-06
favorita_transactions_1M__tirex__vs__seasonal_naive__WAPE,favorita_stores_1W__tirex__vs__seasonal_naive__WAPE,-0.00010923103148057146
favorita_transactions_1M__tirex__vs__seasonal_naive__WAPE,favorita_transactions_1D__tirex__vs__seasonal_naive__WAPE,2.4334987310638547e-05
favorita_transactions_1M__tirex__vs__seasonal_naive__WAPE,favorita_transactions_1M__tirex__vs__seasonal_naive__WAPE,0.003278212386599041
favorita_transactions_1M__tirex__vs__seasonal_naive__WAPE,favorita_transactions_1W__tirex__vs__seasonal_naive__WAPE,6.626917958976127e-05
favorita_transactions_1M__tirex__vs__seasonal_naive__WAPE,hermes__tirex__vs__seasonal_naive__WAPE,2.592002901622027e-06
favorita_transactions_1M__tirex__vs__seasonal_naive__WAPE,hierarchical_sales_1D__tirex__vs__seasonal_naive__WAPE,2.4002052139334864e-05
favorita_transactions_1M__tirex__vs__seasonal_naive__WAPE,hierarchical_sales_1W__tirex__vs__seasonal_naive__WAPE,-3.49259397939565e-05
favorita_transactions_1M__tirex__vs__seasonal_naive__WAPE,m5_1D__tirex__vs__seasonal_naive__WAPE,-6.636481953832406e-06
favorita_transactions_1M__tirex__vs__seasonal_naive__WAPE,m5_1M__tirex__vs__seasonal_naive__WAPE,4.203077464251566e-06
favorita_transactions_1M__tirex__vs__seasonal_naive__WAPE,m5_1W__tirex__vs__seasonal_naive__WAPE,7.64148667483737e-06
favorita_transactions_1M__tirex__vs__seasonal_naive__WAPE,restaurant__tirex__vs__seasonal_naive__WAPE,-4.690785062199033e-06
favorita_transactions_1M__tirex__vs__seasonal_naive__WAPE,rohlik_orders_1D__tirex__vs__seasonal_naive__WAPE,0.00010313904631311173
favorita_transactions_1M__tirex__vs__seasonal_naive__WAPE,rohlik_orders_1W__tirex__vs__seasonal_naive__WAPE,-4.670163904122313e-05
favorita_transactions_1M__tirex__vs__seasonal_naive__WAPE,rohlik_sales_1D__tirex__vs__seasonal_naive__WAPE,4.893795588991462e-05
favorita_transactions_1M__tirex__vs__seasonal_naive__WAPE,rohlik_sales_1W__tirex__vs__seasonal_naive__WAPE,-9.457786646050858e-05
favorita_transactions_1M__tirex__vs__seasonal_naive__WAPE,rossmann_1D__tirex__vs__seasonal_naive__WAPE,-3.123386428554292e-06
favorita_transactions_1M__tirex__vs__seasonal_naive__WAPE,rossmann_1W__tirex__vs__seasonal_naive__WAPE,3.5051493026588756e-06
favorita_transactions_1M__tirex__vs__seasonal_naive__WAPE,walmart__tirex__vs__seasonal_naive__WAPE,-9.843484632038256e-06
favorita_transactions_1W__tirex__vs__seasonal_naive__WAPE,favorita_stores_1D__tirex__vs__seasonal_naive__WAPE,-1.7789155550010366e-06
favorita_transactions_1W__tirex__vs__seasonal_naive__WAPE,favorita_stores_1M__tirex__vs__seasonal_naive__WAPE,-1.5629903040273122e-05
favorita_transactions_1W__tirex__vs__seasonal_naive__WAPE,favorita_stores_1W__tirex__vs__seasonal_naive__WAPE,7.239261679019827e-05
favorita_transactions_1W__tirex__vs__seasonal_naive__WAPE,favorita_transactions_1D__tirex__vs__seasonal_naive__WAPE,-2.224820756106446e-06
favorita_transactions_1W__tirex__vs__seasonal_naive__WAPE,favorita_transactions_1M__tirex__vs__seasonal_naive__WAPE,6.626917958976127e-05
favorita_transactions_1W__tirex__vs__seasonal_naive__WAPE,favorita_transactions_1W__tirex__vs__seasonal_naive__WAPE,0.0017605137091907493
favorita_transactions_1W__tirex__vs__seasonal_naive__WAPE,hermes__tirex__vs__seasonal_naive__WAPE,-6.360296313687837e-07
favorita_transactions_1W__tirex__vs__seasonal_naive__WAPE,hierarchical_sales_1D__tirex__vs__seasonal_naive__WAPE,-1.52885599234913e-05
favorita_transactions_1W__tirex__vs__seasonal_naive__WAPE,hierarchical_sales_1W__tirex__vs__seasonal_naive__WAPE,-2.4404694664831046e-06
favorita_transactions_1W__tirex__vs__seasonal_naive__WAPE,m5_1D__tirex__vs__seasonal_naive__WAPE,8.7069050623138e-06
favorita_transactions_1W__tirex__vs__seasonal_naive__WAPE,m5_1M__tirex__vs__seasonal_naive__WAPE,-2.2324421020830466e-06
favorita_transactions_1W__tirex__vs__seasonal_naive__WAPE,m5_1W__tirex__vs__seasonal_naive__WAPE,1.2580576066128894e-06
favorita_transactions_1W__tirex__vs__seasonal_naive__WAPE,restaurant__tirex__vs__seasonal_naive__WAPE,-2.619435430250243e-06
favorita_transactions_1W__tirex__vs__seasonal_naive__WAPE,rohlik_orders_1D__tirex__vs__seasonal_naive__WAPE,0.0001255948750691024
favorita_transactions_1W__tirex__vs__seasonal_naive__WAPE,rohlik_orders_1W__tirex__vs__seasonal_naive__WAPE,4.380509980666655e-05
favorita_transactions_1W__tirex__vs__seasonal_naive__WAPE,rohlik_sales_1D__tirex__vs__seasonal_naive__WAPE,-2.7002090238483362e-05
favorita_transactions_1W__tirex__vs__seasonal_naive__WAPE,rohlik_sales_1W__tirex__vs__seasonal_naive__WAPE,2.3031862152506024e-05
favorita_transactions_1W__tirex__vs__seasonal_naive__WAPE,rossmann_1D__tirex__vs__seasonal_naive__WAPE,1.4622548247399864e-06
favorita_transactions_1W__tirex__vs__seasonal_naive__WAPE,rossmann_1W__tirex__vs__seasonal_naive__WAPE,-2.4618106159476282e-06
favorita_transactions_1W__tirex__vs__seasonal_naive__WAPE,walmart__tirex__vs__seasonal_naive__WAPE,-6.840546320014352e-05
hermes__tirex__vs__seasonal_naive__WAPE,favorita_stores_1D__tirex__vs__seasonal_naive__WAPE,1.0145499139020809e-06
hermes__tirex__vs__seasonal_naive__WAPE,favorita_stores_1M__tirex__vs__seasonal_naive__WAPE,3.1987214571860673e-07
hermes__tirex__vs__seasonal_naive__WAPE,favorita_stores_1W__tirex__vs__seasonal_naive__WAPE,-4.667059669496435e-07
hermes__tirex__vs__seasonal_naive__WAPE,favorita_transactions_1D__tirex__vs__seasonal_naive__WAPE,1.3128304750396683e-06
hermes__tirex__vs__seasonal_naive__WAPE,favorita_transactions_1M__tirex__vs__seasonal_naive__WAPE,2.592002901622027e-06
hermes__tirex__vs__seasonal_naive__WAPE,favorita_transactions_1W__tirex__vs__seasonal_naive__WAPE,-6.360296313687837e-07
hermes__tirex__vs__seasonal_naive__WAPE,hermes__tirex__vs__seasonal_naive__WAPE,6.213846112443687e-06
hermes__tirex__vs__seasonal_naive__WAPE,hierarchical_sales_1D__tirex__vs__seasonal_naive__WAPE,2.1668567425763883e-07
hermes__tirex__vs__seasonal_naive__WAPE,hierarchical_sales_1W__tirex__vs__seasonal_naive__WAPE,-1.373818247952725e-07
hermes__tirex__vs__seasonal_naive__WAPE,m5_1D__tirex__vs__seasonal_naive__WAPE,-3.6677420716288556e-07
hermes__tirex__vs__seasonal_naive__WAPE,m5_1M__tirex__vs__seasonal_naive__WAPE,-4.5805223044387284e-07
hermes__tirex__vs__seasonal_naive__WAPE,m5_1W__tirex__vs__seasonal_naive__WAPE,-1.6394927975343198e-07
hermes__tirex__vs__seasonal_naive__WAPE,restaurant__tirex__vs__seasonal_naive__WAPE,1.0087085804333286e-07
hermes__tirex__vs__seasonal_naive__WAPE,rohlik_orders_1D__tirex__vs__seasonal_naive__WAPE,-4.3204931324112154e-07
hermes__tirex__vs__seasonal_naive__WAPE,rohlik_orders_1W__tirex__vs__seasonal_naive__WAPE,1.7651991533478422e-06
hermes__tirex__vs__seasonal_naive__WAPE,rohlik_sales_1D__tirex__vs__seasonal_naive__WAPE,1.468709320508411e-07
hermes__tirex__vs__seasonal_naive__WAPE,rohlik_sales_1W__tirex__vs__seasonal_naive__WAPE,-2.1206759927834555e-07
hermes__tirex__vs__seasonal_naive__WAPE,rossmann_1D__tirex__vs__seasonal_naive__WAPE,-1.2269538887838265e-08
hermes__tirex__vs__seasonal_naive__WAPE,rossmann_1W__tirex__vs__seasonal_naive__WAPE,3.244272701577866e-07
hermes__tirex__vs__seasonal_naive__WAPE,walmart__tirex__vs__seasonal_naive__WAPE,1.935121358930442e-06
hierarchical_sales_1D__tirex__vs__seasonal_naive__WAPE,favorita_stores_1D__tirex__vs__seasonal_naive__WAPE,-5.259758274000392e-06
hierarchical_sales_1D__tirex__vs__seasonal_naive__WAPE,favorita_stores_1M__tirex__vs__seasonal_naive__WAPE,1.8098445955954766e-05
hierarchical_sales_1D__tirex__vs__seasonal_naive__WAPE,favorita_stores_1W__tirex__vs__seasonal_naive__WAPE,-7.982916501770495e-06
hierarchical_sales_1D__tirex__vs__seasonal_naive__WAPE,favorita_transactions_1D__tirex__vs__seasonal_naive__WAPE,1.0072091657088626e-05
hierarchical_sales_1D__tirex__vs__seasonal_naive__WAPE,favorita_transactions_1M__tirex__vs__seasonal_naive__WAPE,2.4002052139334864e-05
hierarchical_sales_1D__tirex__vs__seasonal_naive__WAPE,favorita_transactions_1W__tirex__vs__seasonal_naive__WAPE,-1.52885599234913e-05
hierarchical_sales_1D__tirex__vs__seasonal_naive__WAPE,hermes__tirex__vs__seasonal_naive__WAPE,2.1668567425763883e-07
hierarchical_sales_1D__tirex__vs__seasonal_naive__WAPE,hierarchical_sales_1D__tirex__vs__seasonal_naive__WAPE,0.0012205425066109993
hierarchical_sales_1D__tirex__vs__seasonal_naive__WAPE,hierarchical_sales_1W__tirex__vs__seasonal_naive__WAPE,-3.897497795411083e-05
hierarchical_sales_1D__tirex__vs__seasonal_naive__WAPE,m5_1D__tirex__vs__seasonal_naive__WAPE,-2.316818563382909e-06
hierarchical_sales_1D__tirex__vs__seasonal_naive__WAPE,m5_1M__tirex__vs__seasonal_naive__WAPE,-3.8532183973486645e-06
hierarchical_sales_1D__tirex__vs__seasonal_naive__WAPE,m5_1W__tirex__vs__seasonal_naive__WAPE,4.389858108157461e-08
hierarchical_sales_1D__tirex__vs__seasonal_naive__WAPE,restaurant__tirex__vs__seasonal_naive__WAPE,5.274432079376217e-06
hierarchical_sales_1D__tirex__vs__seasonal_naive__WAPE,rohlik_orders_1D__tirex__vs__seasonal_naive__WAPE,-0.00011693659378841646
hierarchical_sales_1D__tirex__vs__seasonal_naive__WAPE,rohlik_orders_1W__tirex__vs__seasonal_naive__WAPE,-3.3795873796582844e-05
hierarchical_sales_1D__tirex__vs__seasonal_naive__WAPE,rohlik_sales_1D__tirex__vs__seasonal_naive__WAPE,1.780547539019647e-05
hierarchical_sales_1D__tirex__vs__seasonal_naive__WAPE,rohlik_sales_1W__tirex__vs__seasonal_naive__WAPE,5.922799330353076e-05
hierarchical_sales_1D__tirex__vs__seasonal_naive__WAPE,rossmann_1D__tirex__vs__seasonal_naive__WAPE,1.5641584363260234e-06
hierarchical_sales_1D__tirex__vs__seasonal_naive__WAPE,rossmann_1W__tirex__vs__seasonal_naive__WAPE,4.396581512444839e-06
hierarchical_sales_1D__tirex__vs__seasonal_naive__WAPE,walmart__tirex__vs__seasonal_naive__WAPE,-4.5749705055341975e-05
hierarchical_sales_1W__tirex__vs__seasonal_naive__WAPE,favorita_stores_1D__tirex__vs__seasonal_naive__WAPE,-4.375267405881906e-06
hierarchical_sales_1W__tirex__vs__seasonal_naive__WAPE,favorita_stores_1M__tirex__vs__seasonal_naive__WAPE,-8.435903934279169e-06
hierarchical_sales_1W__tirex__vs__seasonal_naive__WAPE,favorita_stores_1W__tirex__vs__seasonal_naive__WAPE,-0.00011364677787292371
hierarchical_sales_1W__tirex__vs__seasonal_naive__WAPE,favorita_transactions_1D__tirex__vs__seasonal_naive__WAPE,2.8952617022248568e-05
hierarchical_sales_1W__tirex__vs__seasonal_naive__WAPE,favorita_transactions_1M__tirex__vs__seasonal_naive__WAPE,-3.49259397939565e-05
hierarchical_sales_1W__tirex__vs__seasonal_naive__WAPE,favorita_transactions_1W__tirex__vs__seasonal_naive__WAPE,-2.4404694664831046e-06
hierarchical_sales_1W__tirex__vs__seasonal_naive__WAPE,hermes__tirex__vs__seasonal_naive__WAPE,-1.373818247952725e-07
hierarchical_sales_1W__tirex__vs__seasonal_naive__WAPE,hierarchical_sales_1D__tirex__vs__seasonal_naive__WAPE,-3.897497795411083e-05
hierarchical_sales_1W__tirex__vs__seasonal_naive__WAPE,hierarchical_sales_1W__tirex__vs__seasonal_naive__WAPE,0.0024255837119237377
hierarchical_sales_1W__tirex__vs__seasonal_naive__WAPE,m5_1D__tirex__vs__seasonal_naive__WAPE,-1.8371464442848015e-05
hierarchical_sales_1W__tirex__vs__seasonal_naive__WAPE,m5_1M__tirex__vs__seasonal_naive__WAPE,-1.9872580693703743e-06
hierarchical_sales_1W__tirex__vs__seasonal_naive__WAPE,m5_1W__tirex__vs__seasonal_naive__WAPE,-9.508421816600976e-06
hierarchical_sales_1W__tirex__vs__seasonal_naive__WAPE,restaurant__tirex__vs__seasonal_naive__WAPE,-1.6696549567806183e-06
hierarchical_sales_1W__tirex__vs__seasonal_naive__WAPE,rohlik_orders_1D__tirex__vs__seasonal_naive__WAPE,-0.00016264394302439574
hierarchical_sales_1W__tirex__vs__seasonal_naive__WAPE,rohlik_orders_1W__tirex__vs__seasonal_naive__WAPE,-5.822233522227171e-05
hierarchical_sales_1W__tirex__vs__seasonal_naive__WAPE,rohlik_sales_1D__tirex__vs__seasonal_naive__WAPE,-5.380389295028236e-06
hierarchical_sales_1W__tirex__vs__seasonal_naive__WAPE,rohlik_sales_1W__tirex__vs__seasonal_naive__WAPE,-2.03897407996865e-05
hierarchical_sales_1W__tirex__vs__seasonal_naive__WAPE,rossmann_1D__tirex__vs__seasonal_naive__WAPE,-3.504668476319258e-06
hierarchical_sales_1W__tirex__vs__seasonal_naive__WAPE,rossmann_1W__tirex__vs__seasonal_naive__WAPE,-4.506509390056798e-06
hierarchical_sales_1W__tirex__vs__seasonal_naive__WAPE,walmart__tirex__vs__seasonal_naive__WAPE,-9.471978086442653e-05
m5_1D__tirex__vs__seasonal_naive__WAPE,favorita_stores_1D__tirex__vs__seasonal_naive__WAPE,-6.323469320436913e-07
m5_1D__tirex__vs__seasonal_naive__WAPE,favorita_stores_1M__tirex__vs__seasonal_naive__WAPE,3.4467104725468816e-06
m5_1D__tirex__vs__seasonal_naive__WAPE,favorita_stores_1W__tirex__vs__seasonal_naive__WAPE,6.438050805701427e-07
m5_1D__tirex__vs__seasonal_naive__WAPE,favorita_transactions_1D__tirex__vs__seasonal_naive__WAPE,-1.6839525860348739e-06
m5_1D__tirex__vs__seasonal_naive__WAPE,favorita_transactions_1M__tirex__vs__seasonal_naive__WAPE,-6.636481953832406e-06
m5_1D__tirex__vs__seasonal_naive__WAPE,favorita_transactions_1W__tirex__vs__seasonal_naive__WAPE,8.7069050623138e-06
m5_1D__tirex__vs__seasonal_naive__WAPE,hermes__tirex__vs__seasonal_naive__WAPE,-3.6677420716288556e-07
m5_1D__tirex__vs__seasonal_naive__WAPE,hierarchical_sales_1D__tirex__vs__seasonal_naive__WAPE,-2.316818563382909e-06
m5_1D__tirex__vs__seasonal_naive__WAPE,hierarchical_sales_1W__tirex__vs__seasonal_naive__WAPE,-1.8371464442848015e-05
m5_1D__tirex__vs__seasonal_naive__WAPE,m5_1D__tirex__vs__seasonal_naive__WAPE,3.2149979559910894e-05
m5_1D__tirex__vs__seasonal_naive__WAPE,m5_1M__tirex__vs__seasonal_naive__WAPE,4.986128197675561e-07
m5_1D__tirex__vs__seasonal_naive__WAPE,m5_1W__tirex__vs__seasonal_naive__WAPE,-4.596047566333144e-07
m5_1D__tirex__vs__seasonal_naive__WAPE,restaurant__tirex__vs__seasonal_naive__WAPE,4.402450163003737e-07
m5_1D__tirex__vs__seasonal_naive__WAPE,rohlik_orders_1D__tirex__vs__seasonal_naive__WAPE,1.071116341802896e-05
m5_1D__tirex__vs__seasonal_naive__WAPE,rohlik_orders_1W__tirex__vs__seasonal_naive__WAPE,-9.617415452135248e-06
m5_1D__tirex__vs__seasonal_naive__WAPE,rohlik_sales_1D__tirex__vs__seasonal_naive__WAPE,-5.067334074543896e-06
m5_1D__tirex__vs__seasonal_naive__WAPE,rohlik_sales_1W__tirex__vs__seasonal_naive__WAPE,-8.978780268763068e-06
m5_1D__tirex__vs__seasonal_naive__WAPE,rossmann_1D__tirex__vs__seasonal_naive__WAPE,-3.606084651728267e-07
